ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Striped Casual Shirt,8137694839000,621,783,6.36,789,621,0.79,0.79,284,7,1,2.46,14.29,0.35,"8,303",255,3.07,3.07,674,2,0.30,3.18,0,0,,,,,,,,,,,724,127.13,116.60,1,0.86,0.86,127.13,116.60,789,724,789,724
The Indian Garage Co Men Peach-Coloured Back Graphic Printed Twill Slim Fit Cotton Shirt,8149860122840,656,1,597.02,598,656,1.10,1.10,287,8,1,2.79,12.50,0.35,13,0,,,"18,325",286,1.56,2.09,5,"4,844",8.11,,,,,,,,,,712,91.16,108.49,1,0.92,0.92,91.16,108.49,598,712,598,712
Men Solid Denim Cargo Shirt,8401328898264,"1,450","1,108",179.51,"1,287","2,068",1.61,1.13,899,26,2,2.89,7.69,0.22,"16,165",504,3.12,2.20,"25,653",49,0.19,3.66,0,0,,,,,,,,,,,"2,309",62.25,111.67,4,0.90,0.63,88.79,159.28,322,577,644,"1,155"
Men Joggers Pant,8134401294552,"1,242","1,083",6.17,"1,089","1,242",1.14,1.14,344,16,2,4.65,12.50,0.58,"12,780",283,2.21,3.83,"1,162",3,0.26,2.06,0,0,,,,,,,,,,,867,87.71,69.77,2,1.43,1.43,87.71,69.77,545,433,545,433
Men Printed Shirt,8140552634584,"1,312",163,967.00,"1,130","1,312",1.16,1.16,531,19,2,3.58,10.53,0.38,"2,344",77,3.28,2.12,"30,055",416,1.38,2.32,2,"1,872",1.94,,,,,,,,,,"1,309",86.14,99.74,2,1.00,1.00,86.14,99.74,565,654,565,654
Men Printed Oversized T-shirt,8255131975896,"1,988","1,704",4.00,"1,708","1,988",1.16,1.16,590,28,4,4.75,14.29,0.68,"35,235",454,1.29,3.75,"1,147",2,0.17,2.00,0,0,,,,,,,,,,,"1,477",85.90,74.29,4,1.35,1.35,85.90,74.29,427,369,427,369
Men Baggy Trouser,8149896855768,718,599,,599,682,1.14,1.20,276,12,1,4.35,8.33,0.36,"8,396",193,2.30,3.10,0,0,,,0,0,,,,,,,,,,,700,87.76,102.63,1,0.97,1.03,83.37,97.49,599,700,599,700
Men Vertical Stripes Trouser,8313987629272,718,583,,583,718,1.23,1.23,181,18,1,9.94,5.56,0.55,"3,534",147,4.16,3.97,0,0,,,0,0,,,,,,,,,,,451,81.22,62.84,1,1.59,1.59,81.22,62.84,583,451,583,451
Men Nautical Shirt,8140527599832,"2,360","1,833",78.02,"1,911","2,360",1.23,1.23,706,39,4,5.52,10.26,0.57,"18,977",536,2.82,3.42,"4,906",13,0.26,6.00,0,0,,,,,,,,,,,"1,770",81.00,75.03,4,1.33,1.33,81.00,75.03,478,443,478,443
Men Basic T-Shirt,8149909242072,"2,484","1,843",23.29,"1,866","2,453",1.31,1.33,705,35,4,4.96,11.43,0.57,"22,762",577,2.53,3.19,"2,594",7,0.27,3.33,0,0,,,,,,,,,,,"1,736",76.07,70.79,4,1.41,1.43,75.11,69.90,466,434,466,434
